a_americanum: NW_027526808.1,  5704 to 3919
d_variabilis: NC_134578.1, 126989532 to 126987747
h_longicornis: NW_027526335.1, 235723526 to 235721734
i_hexagonus: CAXMYW020055791.1, 2182 to 396
i_inopinatus: CAXMYJ010007398.1, 347540 to 345754
i_pacificus: CAXMZB020060179.1, 3415 to 1629
i_persulcatus: CBDIYE010018585.1, 10921 to 9135
i_ricinus: JBDHMW010002573.1, 16531 to 14745
i_scapularis: NW_024610109.1, 45138 to 46924 (this one I'll rc)
o_turicata: NW_026999471.1, 55572 to 53785
r_sanguineus: NW_023615690.1, 5172 to 3387
